source,target,Type,Weight,relationshipType
Q873205,Q145,Undirected,1,In Land
Q875554,Q145,Undirected,1,In Land
Q2708072,Q31,Undirected,1,In Land
Q188313,Q145,Undirected,1,In Land
Q328104,Q31,Undirected,1,In Land
Q890339,Q31,Undirected,1,In Land
Q184579,Q145,Undirected,1,In Land
Q4940251,Q145,Undirected,1,In Land
Q586,Q183,Undirected,1,In Land
Q954682,Q31,Undirected,1,In Land
Q723972,Q31,Undirected,1,In Land
Q834850,Q31,Undirected,1,In Land
Q499609,Q31,Undirected,1,In Land
Q1021461,Q31,Undirected,1,In Land
Q100,Q30,Undirected,1,In Land
Q217216,Q31,Undirected,1,In Land
Q81997,Q142,Undirected,1,In Land
Q170478,Q145,Undirected,1,In Land
Q2854293,Q31,Undirected,1,In Land
Q1987052,Q55,Undirected,1,In Land
Q122607,Q145,Undirected,1,In Land
Q693513,Q31,Undirected,1,In Land
Q2773,Q183,Undirected,1,In Land
Q742920,Q31,Undirected,1,In Land
Q1013528,Q145,Undirected,1,In Land
Q12193,Q142,Undirected,1,In Land
Q2510121,Q31,Undirected,1,In Land
Q131491,Q145,Undirected,1,In Land
Q34932,Q408,Undirected,1,In Land
Q23154,Q145,Undirected,1,In Land
Q1054923,Q145,Undirected,1,In Land
Q918153,Q145,Undirected,1,In Land
Q129286,Q8680,Undirected,1,In Land
Q146690,Q145,Undirected,1,In Land
Q180356,Q145,Undirected,1,In Land
Q2926028,Q145,Undirected,1,In Land
Q4974338,Q145,Undirected,1,In Land
Q12994,Q31,Undirected,1,In Land
Q115829623,Q12995,Undirected,1,Sterfteplaats
Q115829623,Q18125,Undirected,1,Werklocatie
Q115829623,Q950007,Undirected,1,Geboorteplaats
Q115829623,Q211037,Undirected,1,Werklocatie
Q115836783,Q12994,Undirected,1,Werklocatie
Q115836783,Q1012349,Undirected,1,Werklocatie
Q115836783,Q12995,Undirected,1,Geboorteplaats
Q115836783,Q1952054,Undirected,1,Werklocatie
Q115836783,Q499588,Undirected,1,Werklocatie
Q115836783,Q499588,Undirected,1,Sterfteplaats
Q115836783,Q270633,Undirected,1,Werklocatie
Q115836783,Q3110836,Undirected,1,Werklocatie
Q115839360,Q12994,Undirected,1,Werklocatie
Q115839360,Q392337,Undirected,1,Geboorteplaats
Q115839360,Q211037,Undirected,1,Werklocatie
Q115839360,Q651811,Undirected,1,Werklocatie
Q115839360,Q651811,Undirected,1,Sterfteplaats
Q115308515,Q1978079,Undirected,1,Sterfteplaats
Q115308515,Q1978079,Undirected,1,Geboorteplaats
Q115308515,Q1012352,Undirected,1,Werklocatie
Q115308515,Q12995,Undirected,1,Werklocatie
Q115308515,Q1924402,Undirected,1,Werklocatie
Q115308515,Q780561,Undirected,1,Werklocatie
Q115308515,Q339395,Undirected,1,Werklocatie
Q239,Q31,Undirected,1,In Land
Q1486,Q414,Undirected,1,In Land
Q202309,Q31,Undirected,1,In Land
Q2928134,Q31,Undirected,1,In Land
Q2154331,Q12994,Undirected,1,Geboorteplaats
Q2154331,Q102728,Undirected,1,Werklocatie
Q2154331,Q12995,Undirected,1,Werklocatie
Q2154331,Q780561,Undirected,1,Sterfteplaats
Q2154331,Q628733,Undirected,1,Sterfteplaats
Q2154331,Q2220639,Undirected,1,Werklocatie
Q2154331,Q621,Undirected,1,Werklocatie
Q516951,Q27,Undirected,1,In Land
